Iteracja;Czas;Temperatura;Nastawa Grzejnika
638;3190.0;22.0;0.00
639;3195.0;22.3;1.00
640;3200.0;22.1;0.00
641;3205.0;21.9;0.00
642;3210.0;22.3;1.00
643;3215.0;22.1;0.00
644;3220.0;21.9;0.00
645;3225.0;22.2;1.00
646;3230.0;22.1;0.00
647;3235.0;21.9;0.00
648;3240.0;22.2;1.00
649;3245.0;22.1;0.00
650;3250.0;21.9;0.00
651;3255.0;22.2;1.00
652;3260.0;22.1;0.00
653;3265.0;21.9;0.00
654;3270.0;22.2;1.00
655;3275.0;22.1;0.00
656;3280.0;21.9;0.00
657;3285.0;22.2;1.00
658;3290.0;22.0;0.00
659;3295.0;21.9;0.00
660;3300.0;22.2;1.00
661;3305.0;22.0;0.00
662;3310.0;21.9;0.00
663;3315.0;22.2;1.00
664;3320.0;22.0;0.00
665;3325.0;21.9;0.00
666;3330.0;22.2;1.00
667;3335.0;22.0;0.00
668;3340.0;21.9;0.00
669;3345.0;22.2;1.00
670;3350.0;22.0;0.00
671;3355.0;21.8;0.00
672;3360.0;22.2;1.00
673;3365.0;22.0;0.00
674;3370.0;22.3;1.00
675;3375.0;22.1;0.00
676;3380.0;22.0;0.00
677;3385.0;22.3;1.00
678;3390.0;22.1;0.00
679;3395.0;22.0;0.00
680;3400.0;22.3;1.00
681;3405.0;22.1;0.00
682;3410.0;22.0;0.00
683;3415.0;22.3;1.00
684;3420.0;22.1;0.00
685;3425.0;21.9;0.00
686;3430.0;22.3;1.00
687;3435.0;22.1;0.00
688;3440.0;21.9;0.00
689;3445.0;22.2;1.00
690;3450.0;22.1;0.00
691;3455.0;21.9;0.00
692;3460.0;22.2;1.00
693;3465.0;22.1;0.00
694;3470.0;21.9;0.00
695;3475.0;22.2;1.00
696;3480.0;22.1;0.00
697;3485.0;21.9;0.00
698;3490.0;22.2;1.00
699;3495.0;22.1;0.00
700;3500.0;21.9;0.00
701;3505.0;22.2;1.00
702;3510.0;22.0;0.00
703;3515.0;21.9;0.00
704;3520.0;22.2;1.00
705;3525.0;22.0;0.00
706;3530.0;21.9;0.00
707;3535.0;22.2;1.00
708;3540.0;22.0;0.00
709;3545.0;21.9;0.00
710;3550.0;22.2;1.00
711;3555.0;22.0;0.00
712;3560.0;21.9;0.00
713;3565.0;22.2;1.00
714;3570.0;22.0;0.00
715;3575.0;21.8;0.00
716;3580.0;22.2;1.00
717;3585.0;22.0;0.00
718;3590.0;22.3;1.00
719;3595.0;22.1;0.00
720;3600.0;22.0;0.00
721;3605.0;22.3;1.00
722;3610.0;22.1;0.00
723;3615.0;22.0;0.00
724;3620.0;22.3;1.00
725;3625.0;22.1;0.00
726;3630.0;22.0;0.00
727;3635.0;22.3;1.00
728;3640.0;22.1;0.00
729;3645.0;22.0;0.00
730;3650.0;22.3;1.00
731;3655.0;22.1;0.00
732;3660.0;21.9;0.00
733;3665.0;22.3;1.00
734;3670.0;22.1;0.00
735;3675.0;21.9;0.00
736;3680.0;22.2;1.00
737;3685.0;22.1;0.00
738;3690.0;21.9;0.00
739;3695.0;22.2;1.00
740;3700.0;22.1;0.00
741;3705.0;21.9;0.00
742;3710.0;22.2;1.00
743;3715.0;22.1;0.00
744;3720.0;21.9;0.00
745;3725.0;22.2;1.00
746;3730.0;22.0;0.00
747;3735.0;21.9;0.00
748;3740.0;22.2;1.00
749;3745.0;22.0;0.00
750;3750.0;21.9;0.00
751;3755.0;22.2;1.00
752;3760.0;22.0;0.00
753;3765.0;21.9;0.00
754;3770.0;22.2;1.00
755;3775.0;22.0;0.00
756;3780.0;21.9;0.00
757;3785.0;22.2;1.00
758;3790.0;22.0;0.00
759;3795.0;21.8;0.00
760;3800.0;22.2;1.00
761;3805.0;22.0;0.00
762;3810.0;22.3;1.00
763;3815.0;22.1;0.00
764;3820.0;22.0;0.00
765;3825.0;22.3;1.00
766;3830.0;22.1;0.00
767;3835.0;22.0;0.00
768;3840.0;22.3;1.00
769;3845.0;22.1;0.00
770;3850.0;22.0;0.00
771;3855.0;22.3;1.00
772;3860.0;22.1;0.00
773;3865.0;22.0;0.00
774;3870.0;22.3;1.00
775;3875.0;22.1;0.00
776;3880.0;21.9;0.00
777;3885.0;22.3;1.00
778;3890.0;22.1;0.00
779;3895.0;21.9;0.00
780;3900.0;22.2;1.00
781;3905.0;22.1;0.00
782;3910.0;21.9;0.00
783;3915.0;22.2;1.00
784;3920.0;22.1;0.00
785;3925.0;21.9;0.00
786;3930.0;22.2;1.00
787;3935.0;22.1;0.00
788;3940.0;21.9;0.00
789;3945.0;22.2;1.00
790;3950.0;22.1;0.00
791;3955.0;21.9;0.00
792;3960.0;22.2;1.00
793;3965.0;22.0;0.00
794;3970.0;21.9;0.00
795;3975.0;22.2;1.00
796;3980.0;22.0;0.00
797;3985.0;21.9;0.00
798;3990.0;22.2;1.00
799;3995.0;22.0;0.00
